year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,la Vila de Gràcia,young population without post-compulsory education (%),.., 
2015,Barcelona,la Vila de Gràcia,foreign population from low or middle income countries (%),,8.1
2015,Barcelona,la Vila de Gràcia,average income per person (€),,15320
2015,Barcelona,el Camp d'en Grassot i Gràcia Nova,employed population (%),,63.4
2015,Barcelona,el Camp d'en Grassot i Gràcia Nova,low-skilled workers (%),,4.4
2015,Barcelona,el Camp d'en Grassot i Gràcia Nova,population with low studies (%),.., 
2015,Barcelona,el Camp d'en Grassot i Gràcia Nova,young population without post-compulsory education (%),.., 
2015,Barcelona,el Camp d'en Grassot i Gràcia Nova,foreign population from low or middle income countries (%),,6.8
2015,Barcelona,el Camp d'en Grassot i Gràcia Nova,average income per person (€),,16770
2015,Barcelona,el Baix Guinardó,employed population (%),,62.7
2015,Barcelona,el Baix Guinardó,low-skilled workers (%),,6
2015,Barcelona,el Baix Guinardó,population with low studies (%),.., 
2015,Barcelona,el Baix Guinardó,young population without post-compulsory education (%),.., 
2015,Barcelona,el Baix Guinardó,foreign population from low or middle income countries (%),,8.6
2015,Barcelona,el Baix Guinardó,average income per person (€),,14811
2015,Barcelona,Can Baró,employed population (%),,60.6
2015,Barcelona,Can Baró,low-skilled workers (%),,9.2
2015,Barcelona,Can Baró,population with low studies (%),.., 
2015,Barcelona,Can Baró,young population without post-compulsory education (%),.., 
2015,Barcelona,Can Baró,foreign population from low or middle income countries (%),,8.9
2015,Barcelona,Can Baró,average income per person (€),,13555
2015,Barcelona,el Guinardó,employed population (%),,62.7
2015,Barcelona,el Guinardó,low-skilled workers (%),,7.6
2015,Barcelona,el Guinardó,population with low studies (%),.., 
2015,Barcelona,el Guinardó,young population without post-compulsory education (%),.., 
2015,Barcelona,el Guinardó,foreign population from low or middle income countries (%),,9.5
2015,Barcelona,el Guinardó,average income per person (€),,14315
2015,Barcelona,la Font d'en Fargues,employed population (%),,65.1
2015,Barcelona,la Font d'en Fargues,low-skilled workers (%),,5.8
2015,Barcelona,la Font d'en Fargues,population with low studies (%),.., 
2015,Barcelona,la Font d'en Fargues,young population without post-compulsory education (%),.., 
2015,Barcelona,la Font d'en Fargues,foreign population from low or middle income countries (%),,3.6
2015,Barcelona,la Font d'en Fargues,average income per person (€),,16715
2015,Barcelona,el Carmel,employed population (%),,60.1
2015,Barcelona,el Carmel,low-skilled workers (%),,15.3
2015,Barcelona,el Carmel,population with low studies (%),.., 
2015,Barcelona,el Carmel,young population without post-compulsory education (%),.., 
2015,Barcelona,el Carmel,foreign population from low or middle income countries (%),,10.4
2015,Barcelona,el Carmel,average income per person (€),,10431
2015,Barcelona,la Teixonera,employed population (%),,61.5
2015,Barcelona,la Teixonera,low-skilled workers (%),,12.4
2015,Barcelona,la Teixonera,population with low studies (%),.., 
2015,Barcelona,la Teixonera,young population without post-compulsory education (%),.., 
2015,Barcelona,la Teixonera,foreign population from low or middle income countries (%),,9.3
2015,Barcelona,la Teixonera,average income per person (€),,11638
2015,Barcelona,Sant Genís dels Agudells,employed population (%),,62.3
2015,Barcelona,Sant Genís dels Agudells,low-skilled workers (%),,10
2015,Barcelona,Sant Genís dels Agudells,population with low studies (%),.., 
2015,Barcelona,Sant Genís dels Agudells,young population without post-compulsory education (%),.., 
2015,Barcelona,Sant Genís dels Agudells,foreign population from low or middle income countries (%),,8.2
2015,Barcelona,Sant Genís dels Agudells,average income per person (€),,12708
2015,Barcelona,Montbau,employed population (%),,63.7
2015,Barcelona,Montbau,low-skilled workers (%),,6.5
2015,Barcelona,Montbau,population with low studies (%),.., 
2015,Barcelona,Montbau,young population without post-compulsory education (%),.., 
2015,Barcelona,Montbau,foreign population from low or middle income countries (%),,7.4
2015,Barcelona,Montbau,average income per person (€),,13836
2015,Barcelona,la Vall d'Hebron,employed population (%),,67
2015,Barcelona,la Vall d'Hebron,low-skilled workers (%),,4.8
2015,Barcelona,la Vall d'Hebron,population with low studies (%),.., 
2015,Barcelona,la Vall d'Hebron,young population without post-compulsory education (%),.., 
2015,Barcelona,la Vall d'Hebron,foreign population from low or middle income countries (%),,5.9
2015,Barcelona,la Vall d'Hebron,average income per person (€),,15552
2015,Barcelona,la Clota,employed population (%),,70.7
2015,Barcelona,la Clota,low-skilled workers (%),,8.7
2015,Barcelona,la Clota,population with low studies (%),.., 
2015,Barcelona,la Clota,young population without post-compulsory education (%),.., 
2015,Barcelona,la Clota,foreign population from low or middle income countries (%),,15.1
2015,Barcelona,la Clota,average income per person (€),,12247
2015,Barcelona,Horta,employed population (%),,62
2015,Barcelona,Horta,low-skilled workers (%),,8.1
2015,Barcelona,Horta,population with low studies (%),.., 
2015,Barcelona,Horta,young population without post-compulsory education (%),.., 
2015,Barcelona,Horta,foreign population from low or middle income countries (%),,7.8
2015,Barcelona,Horta,average income per person (€),,13727
2015,Barcelona,Vilapicina i la Torre Llobeta,employed population (%),,62.2
2015,Barcelona,Vilapicina i la Torre Llobeta,low-skilled workers (%),,9
2015,Barcelona,Vilapicina i la Torre Llobeta,population with low studies (%),.., 
2015,Barcelona,Vilapicina i la Torre Llobeta,young population without post-compulsory education (%),.., 
2015,Barcelona,Vilapicina i la Torre Llobeta,foreign population from low or middle income countries (%),,10.3
2015,Barcelona,Vilapicina i la Torre Llobeta,average income per person (€),,13315
2015,Barcelona,Porta,employed population (%),,61.1
2015,Barcelona,Porta,low-skilled workers (%),,11.6
2015,Barcelona,Porta,population with low studies (%),.., 
2015,Barcelona,Porta,young population without post-compulsory education (%),.., 
2015,Barcelona,Porta,foreign population from low or middle income countries (%),,12
2015,Barcelona,Porta,average income per person (€),,12053
2015,Barcelona,el Turó de la Peira,employed population (%),,56.9
2015,Barcelona,el Turó de la Peira,low-skilled workers (%),,18.5
2015,Barcelona,el Turó de la Peira,population with low studies (%),.., 
2015,Barcelona,el Turó de la Peira,young population without post-compulsory education (%),.., 
2015,Barcelona,el Turó de la Peira,foreign population from low or middle income countries (%),,18.9
2015,Barcelona,el Turó de la Peira,average income per person (€),,9946
2015,Barcelona,Can Peguera,employed population (%),,46
2015,Barcelona,Can Peguera,low-skilled workers (%),,18.8
2015,Barcelona,Can Peguera,population with low studies (%),.., 
2015,Barcelona,Can Peguera,young population without post-compulsory education (%),.., 
2015,Barcelona,Can Peguera,foreign population from low or middle income countries (%),,5.6
2015,Barcelona,Can Peguera,average income per person (€),,9029
2015,Barcelona,la Guineueta,employed population (%),,62.4
2015,Barcelona,la Guineueta,low-skilled workers (%),,8.8
2015,Barcelona,la Guineueta,population with low studies (%),.., 
2015,Barcelona,la Guineueta,young population without post-compulsory education (%),.., 
2015,Barcelona,la Guineueta,foreign population from low or middle income countries (%),,5.8
2015,Barcelona,la Guineueta,average income per person (€),,13425
2015,Barcelona,Canyelles,employed population (%),,59.3
2015,Barcelona,Canyelles,low-skilled workers (%),,14.4
2015,Barcelona,Canyelles,population with low studies (%),.., 
2015,Barcelona,Canyelles,young population without post-compulsory education (%),.., 
2015,Barcelona,Canyelles,foreign population from low or middle income countries (%),,3.4
2015,Barcelona,Canyelles,average income per person (€),,12377
2015,Barcelona,les Roquetes,employed population (%),,53.9
2015,Barcelona,les Roquetes,low-skilled workers (%),,23.2
2015,Barcelona,les Roquetes,population with low studies (%),.., 
2015,Barcelona,les Roquetes,young population without post-compulsory education (%),.., 
2015,Barcelona,les Roquetes,foreign population from low or middle income countries (%),,17.5
2015,Barcelona,les Roquetes,average income per person (€),,9083
2015,Barcelona,Verdun,employed population (%),,56.5
2015,Barcelona,Verdun,low-skilled workers (%),,18.1
2015,Barcelona,Verdun,population with low studies (%),.., 
2015,Barcelona,Verdun,young population without post-compulsory education (%),.., 
2015,Barcelona,Verdun,foreign population from low or middle income countries (%),,15.5
2015,Barcelona,Verdun,average income per person (€),,9893
2015,Barcelona,la Prosperitat,employed population (%),,60.2
2015,Barcelona,la Prosperitat,low-skilled workers (%),,14.7
2015,Barcelona,la Prosperitat,population with low studies (%),.., 
2015,Barcelona,la Prosperitat,young population without post-compulsory education (%),.., 
2015,Barcelona,la Prosperitat,foreign population from low or middle income countries (%),,11.9
2015,Barcelona,la Prosperitat,average income per person (€),,10995
2015,Barcelona,la Trinitat Nova,employed population (%),,48.7
2015,Barcelona,la Trinitat Nova,low-skilled workers (%),,22.9
2015,Barcelona,la Trinitat Nova,population with low studies (%),.., 
2015,Barcelona,la Trinitat Nova,young population without post-compulsory education (%),.., 
2015,Barcelona,la Trinitat Nova,foreign population from low or middle income countries (%),,16.7
2015,Barcelona,la Trinitat Nova,average income per person (€),,8342
2015,Barcelona,Torre Baró,employed population (%),,47.8
2015,Barcelona,Torre Baró,low-skilled workers (%),,24.4
2015,Barcelona,Torre Baró,population with low studies (%),.., 
2015,Barcelona,Torre Baró,young population without post-compulsory education (%),.., 
2015,Barcelona,Torre Baró,foreign population from low or middle income countries (%),,14.2
2015,Barcelona,Torre Baró,average income per person (€),,7706
2015,Barcelona,Ciutat Meridiana,employed population (%),,47.8
2015,Barcelona,Ciutat Meridiana,low-skilled workers (%),,27.7
2015,Barcelona,Ciutat Meridiana,population with low studies (%),.., 
2015,Barcelona,Ciutat Meridiana,young population without post-compulsory education (%),.., 
2015,Barcelona,Ciutat Meridiana,foreign population from low or middle income countries (%),,26.7
2015,Barcelona,Ciutat Meridiana,average income per person (€),,7687
2015,Barcelona,Vallbona,employed population (%),,53.6
2015,Barcelona,Vallbona,low-skilled workers (%),,21.1
2015,Barcelona,Vallbona,population with low studies (%),.., 
2015,Barcelona,Vallbona,young population without post-compulsory education (%),.., 
2015,Barcelona,Vallbona,foreign population from low or middle income countries (%),,10
2015,Barcelona,Vallbona,average income per person (€),,8238
2015,Barcelona,la Trinitat Vella,employed population (%),,51.8
2015,Barcelona,la Trinitat Vella,low-skilled workers (%),,24
2015,Barcelona,la Trinitat Vella,population with low studies (%),.., 
2015,Barcelona,la Trinitat Vella,young population without post-compulsory education (%),.., 
2015,Barcelona,la Trinitat Vella,foreign population from low or middle income countries (%),,26.6
2015,Barcelona,la Trinitat Vella,average income per person (€),,8351
2015,Barcelona,Baró de Viver,employed population (%),,45.7
2015,Barcelona,Baró de Viver,low-skilled workers (%),,22.9
2015,Barcelona,Baró de Viver,population with low studies (%),.., 
2015,Barcelona,Baró de Viver,young population without post-compulsory education (%),.., 
2015,Barcelona,Baró de Viver,foreign population from low or middle income countries (%),,9.6
2015,Barcelona,Baró de Viver,average income per person (€),,8036
2015,Barcelona,el Bon Pastor,employed population (%),,58
2015,Barcelona,el Bon Pastor,low-skilled workers (%),,15
2015,Barcelona,el Bon Pastor,population with low studies (%),.., 
2015,Barcelona,el Bon Pastor,young population without post-compulsory education (%),.., 
2015,Barcelona,el Bon Pastor,foreign population from low or middle income countries (%),,11.2
2015,Barcelona,el Bon Pastor,average income per person (€),,10524
2015,Barcelona,Sant Andreu,employed population (%),,64.9
2015,Barcelona,Sant Andreu,low-skilled workers (%),,6.8
2015,Barcelona,Sant Andreu,population with low studies (%),.., 
2015,Barcelona,Sant Andreu,young population without post-compulsory education (%),.., 
